Date,Open,High,Low,Close,Adj Close,Volume
2021-06-22,180.509995,195.610001,179.669998,194.369995,194.369995,4627500
2021-06-23,195.059998,198.759995,187.100006,192.240005,192.240005,3849600
2021-06-24,193.000000,198.000000,189.000000,192.479996,192.479996,2293200
2021-06-25,193.860001,202.380005,189.539993,189.789993,189.789993,12779700
2021-06-28,195.460007,198.600006,187.960007,194.500000,194.500000,3556400
2021-06-29,195.169998,210.039993,193.350006,208.940002,208.940002,4033400
2021-06-30,208.270004,217.720001,208.050003,212.309998,212.309998,3320400
2021-07-01,215.000000,216.000000,207.509995,215.759995,215.759995,2782300
2021-07-02,215.800003,222.399994,209.199997,217.220001,217.220001,4426300
2021-07-06,214.000000,221.619995,213.100006,215.190002,215.190002,3276400
2021-07-07,215.509995,215.589996,185.490005,185.779999,185.779999,6428400
2021-07-08,179.139999,196.250000,177.050003,189.639999,189.639999,4217200
2021-07-09,189.289993,192.000000,184.330002,188.589996,188.589996,2264900
2021-07-12,188.029999,191.070007,184.600006,188.360001,188.360001,1995800
2021-07-13,185.660004,188.389999,182.309998,184.179993,184.179993,1601900
2021-07-14,184.940002,189.300003,176.300003,177.800003,177.800003,2689500
2021-07-15,177.029999,185.199997,176.199997,179.139999,179.139999,2229500
2021-07-16,182.000000,191.440002,178.860001,186.649994,186.649994,3142400
2021-07-19,187.289993,219.449997,186.649994,210.509995,210.509995,7361800
2021-07-20,214.080002,230.899994,197.919998,207.190002,207.190002,9840800
2021-07-21,201.699997,215.020004,197.500000,210.229996,210.229996,3848200
2021-07-22,212.729996,216.880005,206.380005,209.889999,209.889999,2516800
2021-07-23,212.059998,215.240005,198.009995,203.240005,203.240005,3522500
2021-07-26,201.000000,205.119995,192.479996,193.360001,193.360001,2735600
2021-07-27,188.520004,191.639999,172.009995,179.009995,179.009995,4297700
2021-07-28,185.419998,189.479996,180.369995,189.009995,189.009995,2669800
2021-07-29,194.000000,194.699997,182.250000,184.000000,184.000000,2414900
2021-07-30,183.119995,186.339996,178.100006,179.330002,179.330002,2197800
2021-08-02,183.820007,186.500000,177.169998,182.720001,182.720001,2743800
2021-08-03,182.509995,188.580002,178.949997,188.570007,188.570007,2347200
2021-08-04,206.169998,231.250000,202.570007,223.809998,223.809998,14529700
2021-08-05,229.800003,246.649994,227.199997,236.199997,236.199997,11068300
2021-08-06,200.000000,202.770004,186.050003,189.889999,189.889999,15243000
2021-08-09,192.970001,216.979996,192.000000,213.130005,213.130005,9553100
2021-08-10,219.139999,247.979996,219.139999,230.210007,230.210007,13459100
2021-08-11,234.199997,249.500000,219.300003,234.300003,234.300003,10883600
2021-08-12,242.089996,247.399994,229.119995,247.240005,247.240005,7472600
2021-08-13,254.690002,260.000000,243.600006,257.269989,257.269989,7093000
2021-08-16,248.600006,249.339996,221.330002,229.309998,229.309998,7798800
2021-08-17,217.600006,238.839996,213.000000,234.570007,234.570007,5187800
2021-08-18,236.389999,238.399994,223.649994,226.990005,226.990005,2815300
2021-08-19,220.639999,230.440002,216.750000,217.470001,217.470001,3135700
2021-08-20,221.449997,231.350006,219.210007,230.889999,230.889999,3969600
2021-08-23,236.000000,251.130005,231.080002,251.000000,251.000000,4831600
2021-08-24,243.139999,243.139999,228.020004,233.009995,233.009995,5823700
2021-08-25,229.199997,245.869995,228.509995,238.179993,238.179993,3747300
2021-08-26,238.179993,242.559998,227.449997,230.339996,230.339996,2697300
2021-08-27,230.830002,231.470001,222.100006,226.669998,226.669998,2903500
2021-08-30,224.309998,238.199997,223.100006,233.229996,233.229996,2685000
2021-08-31,235.000000,244.899994,232.199997,238.539993,238.539993,4076900
2021-09-01,238.000000,258.769989,235.110001,252.059998,252.059998,6124900
2021-09-02,252.440002,261.480011,251.009995,258.989990,258.989990,3349400
2021-09-03,254.000000,255.479996,242.550003,251.490005,251.490005,4316600
2021-09-07,256.549988,271.950012,256.399994,270.579987,270.579987,5983100
2021-09-08,273.059998,277.799988,261.149994,266.799988,266.799988,3754100
2021-09-09,268.000000,274.100006,250.360001,258.769989,258.769989,6733200
2021-09-10,247.339996,253.389999,240.250000,242.179993,242.179993,5195600
2021-09-13,247.419998,248.669998,230.210007,233.830002,233.830002,4006300
2021-09-14,233.080002,242.500000,232.100006,234.289993,234.289993,2790000
2021-09-15,234.729996,236.320007,223.050003,232.300003,232.300003,2874200
2021-09-16,231.139999,239.699997,229.500000,237.270004,237.270004,2221300
2021-09-17,238.210007,239.000000,228.210007,237.539993,237.539993,3137200
2021-09-20,224.070007,233.449997,222.139999,226.919998,226.919998,3275700
2021-09-21,227.889999,231.979996,223.000000,230.289993,230.289993,2872000
2021-09-22,231.410004,234.110001,224.149994,232.009995,232.009995,2363200
2021-09-23,234.240005,260.690002,233.550003,257.299988,257.299988,6962500
2021-09-24,257.299988,257.299988,246.250000,248.160004,248.160004,3007100
2021-09-27,248.550003,249.039993,227.399994,231.039993,231.039993,4662600
2021-09-28,227.190002,231.889999,202.220001,204.830002,204.830002,8387600
2021-09-29,211.110001,215.550003,198.000000,203.529999,203.529999,3758700
2021-09-30,203.350006,211.479996,200.520004,207.309998,207.309998,2789900
2021-10-01,190.910004,192.399994,154.279999,181.600006,181.600006,17547800
2021-10-04,166.809998,181.339996,166.550003,178.270004,178.270004,5747800
2021-10-05,181.500000,185.210007,169.729996,170.000000,170.000000,4599900
2021-10-06,163.990005,168.699997,159.110001,161.889999,161.889999,4912500
2021-10-07,163.250000,170.029999,158.399994,165.679993,165.679993,3159500
2021-10-08,165.330002,171.009995,162.240005,164.050003,164.050003,3289300
2021-10-11,161.639999,170.889999,159.550003,165.389999,165.389999,2675200
2021-10-12,166.020004,167.550003,160.600006,163.220001,163.220001,2233600
2021-10-13,164.089996,173.240005,163.710007,166.389999,166.389999,4450300
2021-10-14,170.009995,174.639999,168.500000,169.740005,169.740005,2589800
2021-10-15,170.000000,170.740005,160.309998,161.949997,161.949997,3147200
2021-10-18,161.610001,167.889999,160.559998,166.250000,166.250000,2634500
2021-10-19,167.419998,173.449997,160.199997,160.550003,160.550003,3314800
2021-10-20,122.940002,147.440002,121.349998,136.860001,136.860001,30517000
2021-10-21,138.000000,143.880005,136.529999,138.789993,138.789993,5634500
2021-10-22,138.460007,138.600006,130.630005,134.559998,134.559998,3145700
2021-10-25,133.320007,135.990005,130.800003,135.350006,135.350006,3068700
2021-10-26,135.050003,135.619995,130.089996,134.990005,134.990005,2372000
2021-10-27,150.750000,156.320007,140.229996,141.550003,141.550003,7972400
2021-10-28,143.270004,152.169998,141.300003,150.619995,150.619995,3570700
2021-10-29,152.179993,152.550003,144.699997,148.830002,148.830002,3012500
2021-11-01,159.559998,173.800003,153.500000,172.449997,172.449997,10195000
2021-11-02,181.500000,199.389999,175.350006,195.300003,195.300003,9954200
2021-11-03,198.149994,201.479996,185.369995,195.199997,195.199997,6786300
2021-11-04,183.550003,188.000000,175.300003,179.410004,179.410004,6363800
2021-11-05,160.009995,166.000000,146.110001,159.190002,159.190002,12461100
2021-11-08,162.570007,173.330002,160.500000,173.020004,173.020004,5027500
2021-11-09,167.240005,171.990005,163.289993,169.300003,169.300003,3288700
2021-11-10,164.929993,173.869995,161.660004,164.190002,164.190002,2683200
2021-11-11,165.339996,172.960007,165.000000,169.380005,169.380005,2582000
2021-11-12,169.589996,175.419998,168.009995,169.889999,169.889999,2594700
2021-11-15,171.830002,174.720001,168.309998,172.449997,172.449997,2512000
2021-11-16,167.710007,171.990005,165.289993,170.490005,170.490005,3108500
2021-11-17,172.889999,190.100006,171.449997,183.990005,183.990005,6198700
2021-11-18,188.009995,192.570007,183.779999,191.050003,191.050003,4228900
2021-11-19,192.589996,196.850006,187.520004,192.339996,192.339996,3468100
2021-11-22,199.309998,211.179993,195.080002,207.990005,207.990005,5647600
2021-11-23,202.949997,204.169998,195.070007,200.710007,200.710007,3313100
2021-11-24,197.229996,201.699997,185.529999,200.070007,200.070007,2916300
2021-11-26,214.669998,221.720001,213.500000,217.970001,217.970001,6157700
2021-11-29,228.759995,229.000000,188.029999,193.960007,193.960007,10005300
2021-11-30,196.179993,212.000000,189.000000,208.630005,208.630005,6052600
2021-12-01,196.500000,203.800003,191.080002,192.649994,192.649994,3810800
2021-12-02,183.000000,188.910004,156.720001,161.970001,161.970001,11912300
2021-12-03,168.389999,169.000000,156.000000,160.479996,160.479996,4509500
2021-12-06,151.589996,151.960007,138.250000,141.860001,141.860001,5891700
2021-12-07,153.789993,183.850006,148.949997,182.850006,182.850006,9452100
2021-12-08,175.570007,185.979996,172.300003,181.750000,181.750000,4572400
2021-12-09,180.000000,188.009995,177.380005,177.380005,177.380005,3491700
2021-12-10,170.339996,176.320007,165.250000,166.559998,166.559998,3444800
2021-12-13,168.740005,177.000000,167.240005,169.059998,169.059998,3203500
2021-12-14,167.619995,171.190002,157.800003,168.429993,168.429993,2668200
2021-12-15,168.020004,181.350006,167.679993,179.490005,179.490005,3261300
2021-12-16,178.970001,197.990005,175.309998,194.919998,194.919998,5619900
2021-12-17,206.369995,220.500000,198.350006,217.320007,217.320007,11096700
2021-12-20,230.000000,236.500000,195.559998,201.949997,201.949997,11304700
2021-12-21,193.009995,198.479996,177.699997,191.070007,191.070007,8425600
2021-12-22,191.279999,193.190002,180.210007,183.300003,183.300003,5081600
2021-12-23,184.779999,186.800003,172.460007,177.250000,177.250000,6085000
2021-12-27,168.559998,169.389999,155.110001,157.800003,157.800003,8934200
2021-12-28,153.160004,175.990005,153.100006,155.839996,155.839996,12398100
2021-12-29,153.279999,155.279999,144.559998,153.250000,153.250000,7511800
2021-12-30,152.779999,159.000000,148.860001,154.830002,154.830002,5093300
2021-12-31,151.470001,156.809998,141.509995,143.070007,143.070007,9096300
2022-01-03,144.029999,145.199997,135.399994,142.899994,142.899994,6617700
